LSiSi/LNaNa,LSiSi/LHH,log_a,log_b
b,c,1.35,1.4500000000000002
b,c,1.35,1.46
b,c,1.35,1.4700000000000002
b,c,1.35,1.48
b,c,1.35,1.4900000000000002
b,c,1.35,1.5
b,c,1.35,1.5099999999999998
b,c,1.35,1.52
b,c,1.35,1.5299999999999998
b,c,1.35,1.54
b,c,1.35,1.5499999999999998
b,c,1.35,1.56
b,c,1.35,1.5699999999999998
b,c,1.35,1.58
b,c,1.35,1.5899999999999999
b,c,1.35,1.6
b,c,1.35,1.6099999999999999
b,c,1.35,1.62
b,c,1.35,1.63
b,c,1.35,1.6400000000000001
b,c,1.35,1.65
b,c,1.35,1.6600000000000001
b,c,1.35,1.67
b,c,1.35,1.6800000000000002
b,c,1.35,1.69
b,c,1.35,1.7000000000000002
b,c,1.35,1.71
b,c,1.35,1.7200000000000002
b,c,1.35,1.73
b,c,1.35,1.7400000000000002
b,c,1.35,1.75
b,c,1.35,1.7599999999999998
b,c,1.35,1.77
b,c,1.35,1.7799999999999998
b,c,1.35,1.79
b,c,1.35,1.7999999999999998
b,c,1.35,1.81
b,c,1.35,1.8199999999999998
b,c,1.35,1.83
b,c,1.35,1.8399999999999999
b,c,1.35,1.85
b,c,1.35,1.8599999999999999
b,c,1.35,1.87
b,c,1.35,1.88
b,c,1.35,1.8900000000000001
b,c,1.35,1.9
b,c,1.35,1.9100000000000001
b,c,1.35,1.92
b,c,1.35,1.9300000000000002
b,c,1.35,1.94
b,c,1.35,1.9500000000000002
b,c,1.35,1.96
b,c,1.35,1.9700000000000002
b,c,1.35,1.98
b,c,1.35,1.9900000000000002
b,c,1.35,2.0
b,c,1.3599999999999999,1.3599999999999999
b,c,1.3599999999999999,1.37
b,c,1.3599999999999999,1.38
b,c,1.3599999999999999,1.3900000000000001
b,c,1.3599999999999999,1.4
b,c,1.3599999999999999,1.4100000000000001
b,c,1.3599999999999999,1.42
b,c,1.3599999999999999,1.4300000000000002
b,c,1.3599999999999999,1.44
b,c,1.3599999999999999,1.4500000000000002
b,c,1.3599999999999999,1.46
b,c,1.3599999999999999,1.4700000000000002
b,c,1.3599999999999999,1.48
b,c,1.3599999999999999,1.4900000000000002
b,c,1.3599999999999999,1.5
b,c,1.3599999999999999,1.5099999999999998
b,c,1.3599999999999999,1.52
b,c,1.3599999999999999,1.5299999999999998
b,c,1.3599999999999999,1.54
b,c,1.3599999999999999,1.5499999999999998
b,c,1.3599999999999999,1.56
b,c,1.3599999999999999,1.5699999999999998
b,c,1.3599999999999999,1.58
b,c,1.3599999999999999,1.5899999999999999
b,c,1.3599999999999999,1.6
b,c,1.3599999999999999,1.6099999999999999
b,c,1.3599999999999999,1.62
b,c,1.3599999999999999,1.63
b,c,1.3599999999999999,1.6400000000000001
b,c,1.3599999999999999,1.65
b,c,1.3599999999999999,1.6600000000000001
b,c,1.3599999999999999,1.67
b,c,1.3599999999999999,1.6800000000000002
b,c,1.3599999999999999,1.69
b,c,1.3599999999999999,1.7000000000000002
b,c,1.3599999999999999,1.71
b,c,1.3599999999999999,1.7200000000000002
b,c,1.3599999999999999,1.73
b,c,1.3599999999999999,1.7400000000000002
b,c,1.3599999999999999,1.75
b,c,1.3599999999999999,1.7599999999999998
b,c,1.3599999999999999,1.77
b,c,1.3599999999999999,1.7799999999999998
b,c,1.3599999999999999,1.79
b,c,1.3599999999999999,1.7999999999999998
b,c,1.3599999999999999,1.81
b,c,1.3599999999999999,1.8199999999999998
b,c,1.3599999999999999,1.83
b,c,1.3599999999999999,1.8399999999999999
b,c,1.3599999999999999,1.85
b,c,1.3599999999999999,1.8599999999999999
b,c,1.3599999999999999,1.87
b,c,1.3599999999999999,1.88
b,c,1.3599999999999999,1.8900000000000001
b,c,1.3599999999999999,1.9
b,c,1.3599999999999999,1.9100000000000001
b,c,1.3599999999999999,1.92
b,c,1.3599999999999999,1.9300000000000002
b,c,1.3599999999999999,1.94
b,c,1.3599999999999999,1.9500000000000002
b,c,1.3599999999999999,1.96
b,c,1.3599999999999999,1.9700000000000002
b,c,1.3599999999999999,1.98
b,c,1.3599999999999999,1.9900000000000002
b,c,1.3599999999999999,2.0
b,c,1.37,1.3399999999999999
b,c,1.37,1.35
b,c,1.37,1.3599999999999999
b,c,1.37,1.37
b,c,1.37,1.38
b,c,1.37,1.3900000000000001
b,c,1.37,1.4
b,c,1.37,1.4100000000000001
b,c,1.37,1.42
b,c,1.37,1.4300000000000002
b,c,1.37,1.44
b,c,1.37,1.4500000000000002
b,c,1.37,1.46
b,c,1.37,1.4700000000000002
b,c,1.37,1.48
b,c,1.37,1.4900000000000002
b,c,1.37,1.5
b,c,1.37,1.5099999999999998
b,c,1.37,1.52
b,c,1.37,1.5299999999999998
b,c,1.37,1.54
b,c,1.37,1.5499999999999998
b,c,1.37,1.56
b,c,1.37,1.5699999999999998
b,c,1.37,1.58
b,c,1.37,1.5899999999999999
b,c,1.37,1.6
b,c,1.37,1.6099999999999999
b,c,1.37,1.62
b,c,1.37,1.63
b,c,1.37,1.6400000000000001
b,c,1.37,1.65
b,c,1.37,1.6600000000000001
b,c,1.37,1.67
b,c,1.37,1.6800000000000002
b,c,1.37,1.69
b,c,1.37,1.7000000000000002
b,c,1.37,1.71
b,c,1.37,1.7200000000000002
b,c,1.37,1.73
b,c,1.37,1.7400000000000002
b,c,1.37,1.75
b,c,1.37,1.7599999999999998
b,c,1.37,1.77
b,c,1.37,1.7799999999999998
b,c,1.37,1.79
b,c,1.37,1.7999999999999998
b,c,1.37,1.81
b,c,1.37,1.8199999999999998
b,c,1.37,1.83
b,c,1.37,1.8399999999999999
b,c,1.37,1.85
b,c,1.37,1.8599999999999999
b,c,1.37,1.87
b,c,1.37,1.88
b,c,1.37,1.8900000000000001
b,c,1.37,1.9
b,c,1.37,1.9100000000000001
b,c,1.37,1.92
b,c,1.37,1.9300000000000002
b,c,1.37,1.94
b,c,1.37,1.9500000000000002
b,c,1.37,1.96
b,c,1.37,1.9700000000000002
b,c,1.37,1.98
b,c,1.37,1.9900000000000002
b,c,1.37,2.0
b,c,1.38,1.3199999999999998
b,c,1.38,1.33
b,c,1.38,1.3399999999999999
b,c,1.38,1.35
b,c,1.38,1.3599999999999999
b,c,1.38,1.37
b,c,1.38,1.38
b,c,1.38,1.3900000000000001
b,c,1.38,1.4
b,c,1.38,1.4100000000000001
b,c,1.38,1.42
b,c,1.38,1.4300000000000002
b,c,1.38,1.44
b,c,1.38,1.4500000000000002
b,c,1.38,1.46
b,c,1.38,1.4700000000000002
b,c,1.38,1.48
b,c,1.38,1.4900000000000002
b,c,1.38,1.5
b,c,1.38,1.5099999999999998
b,c,1.38,1.52
b,c,1.38,1.5299999999999998
b,c,1.38,1.54
b,c,1.38,1.5499999999999998
b,c,1.38,1.56
b,c,1.38,1.5699999999999998
b,c,1.38,1.58
b,c,1.38,1.5899999999999999
b,c,1.38,1.6
b,c,1.38,1.6099999999999999
b,c,1.38,1.62
b,c,1.38,1.63
b,c,1.38,1.6400000000000001
b,c,1.38,1.65
b,c,1.38,1.6600000000000001
b,c,1.38,1.67
b,c,1.38,1.6800000000000002
b,c,1.38,1.69
b,c,1.38,1.7000000000000002
b,c,1.38,1.71
b,c,1.38,1.7200000000000002
b,c,1.38,1.73
b,c,1.38,1.7400000000000002
b,c,1.38,1.75
b,c,1.38,1.7599999999999998
b,c,1.38,1.77
b,c,1.38,1.7799999999999998
b,c,1.38,1.79
b,c,1.38,1.7999999999999998
b,c,1.38,1.81
b,c,1.38,1.8199999999999998
b,c,1.38,1.83
b,c,1.38,1.8399999999999999
b,c,1.38,1.85
b,c,1.38,1.8599999999999999
b,c,1.38,1.87
b,c,1.38,1.88
b,c,1.38,1.8900000000000001
b,c,1.38,1.9
b,c,1.38,1.9100000000000001
b,c,1.38,1.92
b,c,1.38,1.9300000000000002
b,c,1.38,1.94
b,c,1.38,1.9500000000000002
b,c,1.38,1.96
b,c,1.38,1.9700000000000002
b,c,1.38,1.98
